Dia de Data Escala de Tempo 1 CE Simp 4;Data Escala de Tempo 1 CE Simp 4;Período Exibido CE Simp 4;Subsistema;Selecione Tipo de CE Simp 4
3 de julho de 1999;03/07/1999 00:00:00;Dia;Sul;142,20408
4 de julho de 1999;04/07/1999 00:00:00;Dia;Sul;116,38464
5 de julho de 1999;05/07/1999 00:00:00;Dia;Sul;153,71784
6 de julho de 1999;06/07/1999 00:00:00;Dia;Sul;160,66944
7 de julho de 1999;07/07/1999 00:00:00;Dia;Sul;158,9568
8 de julho de 1999;08/07/1999 00:00:00;Dia;Sul;158,54616
9 de julho de 1999;09/07/1999 00:00:00;Dia;Sul;156,80664
10 de julho de 1999;10/07/1999 00:00:00;Dia;Sul;136,62528
11 de julho de 1999;11/07/1999 00:00:00;Dia;Sul;112,9284
12 de julho de 1999;12/07/1999 00:00:00;Dia;Sul;149,34648
13 de julho de 1999;13/07/1999 00:00:00;Dia;Sul;155,3604
14 de julho de 1999;14/07/1999 00:00:00;Dia;Sul;155,97888
15 de julho de 1999;15/07/1999 00:00:00;Dia;Sul;156,43248
16 de julho de 1999;16/07/1999 00:00:00;Dia;Sul;159,59232
17 de julho de 1999;17/07/1999 00:00:00;Dia;Sul;138,54864
18 de julho de 1999;18/07/1999 00:00:00;Dia;Sul;116,1576
19 de julho de 1999;19/07/1999 00:00:00;Dia;Sul;157,48848
20 de julho de 1999;20/07/1999 00:00:00;Dia;Sul;162,44256
21 de julho de 1999;21/07/1999 00:00:00;Dia;Sul;158,20392
22 de julho de 1999;22/07/1999 00:00:00;Dia;Sul;156,9852
23 de julho de 1999;23/07/1999 00:00:00;Dia;Sul;157,85784
24 de julho de 1999;24/07/1999 00:00:00;Dia;Sul;137,322
25 de julho de 1999;25/07/1999 00:00:00;Dia;Sul;114,55584
26 de julho de 1999;26/07/1999 00:00:00;Dia;Sul;152,46552
27 de julho de 1999;27/07/1999 00:00:00;Dia;Sul;159,0756
28 de julho de 1999;28/07/1999 00:00:00;Dia;Sul;156,2112
29 de julho de 1999;29/07/1999 00:00:00;Dia;Sul;153,20472
30 de julho de 1999;30/07/1999 00:00:00;Dia;Sul;153,62064
31 de julho de 1999;31/07/1999 00:00:00;Dia;Sul;133,05744
1 de agosto de 1999;01/08/1999 00:00:00;Dia;Sul;111,13272
2 de agosto de 1999;02/08/1999 00:00:00;Dia;Sul;148,9836
3 de agosto de 1999;03/08/1999 00:00:00;Dia;Sul;156,4512
4 de agosto de 1999;04/08/1999 00:00:00;Dia;Sul;156,52968
5 de agosto de 1999;05/08/1999 00:00:00;Dia;Sul;158,72184
6 de agosto de 1999;06/08/1999 00:00:00;Dia;Sul;159,8592
7 de agosto de 1999;07/08/1999 00:00:00;Dia;Sul;140,7336
8 de agosto de 1999;08/08/1999 00:00:00;Dia;Sul;111,41064
9 de agosto de 1999;09/08/1999 00:00:00;Dia;Sul;149,87808
10 de agosto de 1999;10/08/1999 00:00:00;Dia;Sul;156,99096
11 de agosto de 1999;11/08/1999 00:00:00;Dia;Sul;160,28208
12 de agosto de 1999;12/08/1999 00:00:00;Dia;Sul;162,12216
13 de agosto de 1999;13/08/1999 00:00:00;Dia;Sul;162,25392
14 de agosto de 1999;14/08/1999 00:00:00;Dia;Sul;138,52176
15 de agosto de 1999;15/08/1999 00:00:00;Dia;Sul;114,15192
16 de agosto de 1999;16/08/1999 00:00:00;Dia;Sul;148,812
17 de agosto de 1999;17/08/1999 00:00:00;Dia;Sul;157,89024
18 de agosto de 1999;18/08/1999 00:00:00;Dia;Sul;158,8008
19 de agosto de 1999;19/08/1999 00:00:00;Dia;Sul;160,05816
20 de agosto de 1999;20/08/1999 00:00:00;Dia;Sul;160,17936
21 de agosto de 1999;21/08/1999 00:00:00;Dia;Sul;143,58024
22 de agosto de 1999;22/08/1999 00:00:00;Dia;Sul;120,26448
23 de agosto de 1999;23/08/1999 00:00:00;Dia;Sul;158,31936
24 de agosto de 1999;24/08/1999 00:00:00;Dia;Sul;162,03288
25 de agosto de 1999;25/08/1999 00:00:00;Dia;Sul;163,14768
26 de agosto de 1999;26/08/1999 00:00:00;Dia;Sul;161,88576
27 de agosto de 1999;27/08/1999 00:00:00;Dia;Sul;164,4684
28 de agosto de 1999;28/08/1999 00:00:00;Dia;Sul;145,02456
